participant_id,baseline_correct,ephemeral_correct
fa9e1e03-02c0-4578-80ab-d8b4805c032f,0,0
9e58c027-81d8-47e6-8c24-a06465d01306,1,1
22c50dcb-4e7b-43bc-98a3-ef541f3751c0,1,1
ecb1f957-17b2-44d5-a597-42f605a3f34b,1,1
395dc208-4dfc-4d23-bbd1-032bb02d2b5f,1,1
88ec30ab-8850-4408-9c50-1fb4a5645f49,0,0
1850e5c7-8c34-4e78-a786-e752c1cdff45,1,1
d4cc7231-ff1e-44de-8c77-252e1f700b97,0,1
e6b298d6-eff1-49ff-83d6-0957bb6709a3,0,1
70e0323f-d812-4e01-89af-dd3de51a8730,0,0
66671b35-2be3-4651-badb-b7537d015da9,1,1
b3ed9198-31a5-46a8-a5e9-e2a095a8c9cc,1,1
5421d955-289d-42d4-a503-9beb08be6529,0,0
03847aa8-53a8-489f-94f6-23174b47d01e,1,1
656e2023-7953-4c5d-a1bb-992ef48dc02b,1,1
d1531aa8-cd2c-4dba-bc41-9dd99ec79f93,1,1
5194ff6e-af33-4f7e-a684-f8555e93a38e,0,0
d6a3764a-3236-4fb4-a222-1bf5e8826bfd,1,1
c395b375-f730-45a7-b0c7-6a94470645c0,0,0
2c6eb6a8-6252-4c5d-9373-958c35ce8eb3,1,1
99559b96-64b9-4033-9ab8-5fe366a08c72,0,1
e2ac3c36-c745-468b-aac6-a2f3ad5aa72e,1,1
8a7c44c4-b9e8-4c78-bef0-2074c8658bbd,1,1
